screen_name,한국어 라벨,구간,종류,핵심,파라미터,AOS 현행,AOS 할 일,AOS 체류,iOS 행,iOS 현행·제안명,iOS 할 일,정의서 v2 키,답하는 질문,비고
setting_account_delete_password,회원 탈퇴 · 본인 확인,활동·계정 관리,화면,,,,추가,,152,setting_account_delete_password,제안 채택,settings_withdraw_verify,,
setting_account_delete_reason,회원 탈퇴 · 사유,활동·계정 관리,시트,,,,추가,,178 176,setting_account_delete_reason / setting_account_delete_reason_input,통합 발송,settings_withdraw_reason,,기타 사유 직접 입력(176행)은 같은 화면의 단계.
setting_account_delete_confirm,회원 탈퇴 · 최종 확인,활동·계정 관리,화면,,,,추가,,153,setting_account_delete_confirm,제안 채택,settings_withdraw_confirm,,
setting_customer_service,고객센터,활동·계정 관리,화면,,,,추가,,154,setting_customer_service,제안 채택,support_home,,
service_agreement,설정 · 서비스 동의(약관 목록),활동·계정 관리,화면,,,service_agreement,현행 유지,3종,161,setting_service_agreement,제안 개명,support_agreement_list,,
setting_muse_privileges,Muse 특권 안내(웹),활동·계정 관리,웹,,,,확인,,169,setting_muse_privileges,제안 채택,support_privilege,,
setting_contents,내 활동 · 모아보기,활동·계정 관리,화면,,,,추가,,166,setting_contents,제안 채택,activity_home,,
setting_contents_comments,내 활동 · 댓글과 답글,활동·계정 관리,화면,,,,추가,,156,setting_contents_comments,제안 채택,activity_comment,,
setting_contents_respected,내 활동 · 리스펙트한 작업물,활동·계정 관리,화면,,,,추가,,157,setting_contents_respected,제안 채택,activity_respect,,
setting_contents_liked,내 활동 · 좋아요한 콘텐츠,활동·계정 관리,화면,,,,추가,,164,setting_contents_liked,제안 채택,activity_like,,
bookmark_creator,북마크 · 크리에이터,활동·계정 관리,탭,,,bookmark_creator,현행 유지(체류 추가),진입만→3종,158,bookmark_creator,현행 유지,activity_bookmark_creator,,
bookmark_portfolio,북마크 · 포트폴리오,활동·계정 관리,탭,핵심,,bookmark_portfolio,현행 유지(체류 추가),진입만→3종,159,bookmark_portfolio,현행 유지,activity_bookmark_portfolio,,
web_page,웹 · 전용 이름 없는 웹 페이지,웹·예외 진입,웹,,web_path=ID를 뺀 경로,,확인,,195 196 204 205,join_web / web_custom_bottom_sheet / web_page / web_sheet,통합 발송,,,전용 이름이 있는 웹 목적지(제안·추천·미리보기·약관·클럽)는 여기로 보내지 않습니다. 남는 웹뷰만 web_path와 함께 발송합니다.
club_waiting_web,클럽 · 대기 랜딩(웹),웹·예외 진입,웹,,,,확인,,197,club_waiting_web,제안 채택,,,
club_entry_web,클럽 · 입장 랜딩(웹),웹·예외 진입,웹,,,,확인,,198,club_entry_web,제안 채택,,,
card_game_boss,아케이드 · 카드 보스전,웹·예외 진입,화면,,,,확인,,231,card_game_boss,제안 채택,arcade_game,,
card_game_breakout,아케이드 · 블록깨기,웹·예외 진입,화면,,,,확인,,232,card_game_breakout,제안 채택,,,
