No,화면명(한글),화면 유형,iOS 제안·현행명,GA 현황,도달,판정,확정 screen_name,분류,사유·대응
199,웹 첨부파일 미리보기 (이미지·영상·PDF·유튜브),fullScreenCover,web_attachment_preview,제안,도달 가능,채택,media_viewer,통합 발송,→ media_viewer
200,프로필 사진 등록 (자르기·회전 편집),fullScreenCover,web_profile_image_edit,제안,도달 가능,채택,media_image_edit,통합 발송,→ media_image_edit
201,프로필 사진 자르기,fullScreenCover,web_profile_image_crop,제안,도달 가능,채택,media_image_edit,통합 발송,→ media_image_edit
202,사진 선택 (시스템 포토 피커),sheet,web_photo_picker,제안,도달 가능,제외,,시스템 피커,OS가 그리는 사진·파일·메일 선택기. 앱 화면이 아닙니다.
203,웹 안에서 띄우는 잠금 바텀시트 웹뷰 (제안 작성/수정),sheet,proposal_edit,제안,도달 가능,채택,proposal_create · proposal_edit,유형별 발송,"→ proposal_create, proposal_edit"
204,웹뷰 바텀시트 (presentWeb),sheet,web_sheet,제안,도달 가능,채택,web_page,통합 발송,→ web_page
205,커스텀 웹 바텀시트 (custombottomsheet),커스텀 웹 오버레이,web_custom_bottom_sheet,제안,딥링크 전용,채택,web_page,통합 발송,→ web_page
206,신고 상세 사유 입력 (기타),fullScreenCover,report_detail_input,제안,도달 가능,채택,report_detail_input,통합 발송,→ report_detail_input
207,게시물 신고 사유 선택 시트,sheet,report_reason_content,제안,도달 가능,채택,report_reason,통합 발송,→ report_reason
208,작업물 리스펙트 보낸 사람 목록,sheet,respect_list,제안,도달 가능,채택,respect_list,통합 발송,→ respect_list
209,내 댓글 옵션 시트 (삭제),overlaySheet,comment_option_mine,제안,도달 가능,제외,,옵션(더보기) 시트,선택지 메뉴. 고른 행동은 행동 이벤트로 셉니다.
210,타인 댓글 옵션 시트,overlaySheet,comment_option_other,제안,도달 가능,제외,,옵션(더보기) 시트,선택지 메뉴. 고른 행동은 행동 이벤트로 셉니다.
211,포트폴리오 PDF 전체보기 (QuickLook 문서 뷰어),fullScreenCover,portfolio_pdf_viewer,제안,도달 가능,채택,media_viewer,통합 발송,→ media_viewer
212,남의 프로젝트 카드 옵션 시트 (프로필 저장·공유·차단·신고),sheet,project_card_option_other,제안,도달 가능,제외,,옵션(더보기) 시트,선택지 메뉴. 고른 행동은 행동 이벤트로 셉니다.
213,리스펙트 준 사람 전체 목록 시트,sheet,respect_user_all,제안,도달 가능,채택,respect_list,통합 발송,→ respect_list
214,배경 영상 편집 (동영상 편집),fullScreenCover,background_video_edit,제안,도달 가능,채택,media_video_edit,통합 발송,→ media_video_edit
215,프로필 사진 등록 (사진 선택 → 이미지 편집),fullScreenCover,profile_image_edit,제안,도달 가능,채택,media_image_edit,통합 발송,→ media_image_edit
216,프로필 카드 배경 등록 (선택 → 이미지 편집),fullScreenCover,profile_card_background_image_edit,제안,도달 가능,채택,media_image_edit,통합 발송,→ media_image_edit
217,프로필 카드 배경 영상 구간 자르기,fullScreenCover,profile_card_background_video_crop,제안,도달 가능,채택,media_video_edit,통합 발송,→ media_video_edit
218,관계 세그먼트 시트 (일촌·팔로워·팔로잉),sheet,relation_follower / relation_following / relation_first_connections,제안,도달 가능,채택,relation_list,통합 발송,→ relation_list
219,함께 아는 일촌 목록 시트,sheet,first_connection_mutual,제안,도달 가능,채택,first_connection_mutual,제안 채택,
220,노크 용건 선택,fullScreenCover,knock_type_select,제안,도달 가능,채택,knock_type_select,제안 채택,
221,사용자 신고 사유 선택 시트,sheet,report_reason_user,제안,도달 가능,채택,report_reason,통합 발송,→ report_reason
222,사용자 액션 바텀시트 (더보기: 팔로우·1촌·노크·저장·차단·신고),sheet,member_option,제안,도달 가능,제외,,옵션(더보기) 시트,선택지 메뉴. 고른 행동은 행동 이벤트로 셉니다.
223,노크 전송 완료 팝업 (채팅에서 확인하기),팝업,knock_sent_popup,제안,도달 가능,제외,,유도·완료 팝업,행동의 결과 알림. 완료는 행동 이벤트로 이미 잡힙니다.
224,프로필 사진 자르기 (네이티브 편집 플로우),fullScreenCover,profile_image_crop,제안,도달 가능,채택,media_image_edit,통합 발송,→ media_image_edit
225,업데이트 안내 (신기능 소개),팝업,app_update_notice,제안,도달 가능,제외,,확인·안내 팝업,버튼 하나로 닫히는 알림. 필요하면 이벤트(예: app_update_gate)로 셉니다.
226,QA 리포트 영상 트림 편집기,fullScreenCover,qa_report_video_trim,제안,도달 가능,제외,,내부 QA 도구,알파·QA 전용 도구. 수집하지 않습니다.
227,QA 리포트 첨부 마크업 미리보기,fullScreenCover,qa_report_markup,제안,도달 가능,제외,,내부 QA 도구,알파·QA 전용 도구. 수집하지 않습니다.
228,QA 리포트 네트워크 로그 콘솔 (Pulse),sheet,qa_report_network_console,제안,도달 가능,제외,,내부 QA 도구,알파·QA 전용 도구. 수집하지 않습니다.
229,QA 리포트 사진·영상 피커,sheet,qa_report_media_picker,제안,도달 가능,제외,,내부 QA 도구,알파·QA 전용 도구. 수집하지 않습니다.
230,QA 리포트 작성 시트,sheet,qa_report_sheet,제안,도달 가능,제외,,내부 QA 도구,알파·QA 전용 도구. 수집하지 않습니다.
231,카드 보스전 (프로필 카드),팝업,card_game_boss,제안,도달 가능,채택,card_game_boss,제안 채택,
232,카드 블록깨기 게임,팝업,card_game_breakout,제안,도달 가능,채택,card_game_breakout,제안 채택,
