여정,GA 화면 제목(screen_name/page_title),개발 키(screen_key),화면 범위,진입 경로,다음 이동,플랫폼,표시 조건,화면 경계
마이 · 나를 소개하기,내 정보 · 링크 입력,profile_edit_link,외부 작업·홈페이지 링크를 입력하는 화면입니다.,마이 → 링크 등록·변경,링크 관리 또는 내 프로필로 이동하거나 뒤로 돌아갑니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,
마이 · 나를 소개하기,내 정보 · 추천 정보 설정,profile_edit_recommend,추천에 사용하는 정보를 관리하는 화면입니다.,마이 → 추천 정보,내 프로필로 이동하거나 뒤로 돌아갑니다.,aos,이 화면이 실제 전면에 표시된 경우,
마이 · 나를 소개하기,커리어 · 이력 관리,career_home,내 커리어 등록 항목과 이력을 관리하는 화면입니다.,마이 → 이력 관리,경력·학력·수상 등 개별 입력로 이동하거나 뒤로 돌아갑니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,
마이 · 나를 소개하기,커리어 · 경력 입력,career_experience_form,경력 한 항목을 등록·수정하는 화면입니다.,이력 관리 → 경력 추가·편집,이력 관리로 이동하거나 뒤로 돌아갑니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,
마이 · 나를 소개하기,커리어 · 학력 목록,career_education_list,등록한 학력 항목을 확인하는 화면입니다.,이력 관리 → 학력,학력 입력로 이동하거나 뒤로 돌아갑니다.,aos,이 화면이 실제 전면에 표시된 경우,
마이 · 나를 소개하기,커리어 · 학력 입력,career_education_form,학력 한 항목을 등록·수정하는 화면입니다.,학력 목록·이력 관리 → 추가·편집,학교·전공 검색 또는 이력 관리로 이동하거나 뒤로 돌아갑니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,
마이 · 나를 소개하기,커리어 · 학교·전공 검색,career_school_search,학교나 전공을 검색하여 선택하는 화면입니다.,학력 입력 → 학교·전공 찾기,학력 입력로 이동하거나 뒤로 돌아갑니다.,ios,이 화면이 실제 전면에 표시된 경우,
마이 · 나를 소개하기,커리어 · 자격·수상 목록,career_award_list,등록한 자격과 수상을 확인하는 화면입니다.,이력 관리 → 자격·수상,자격·수상 입력로 이동하거나 뒤로 돌아갑니다.,aos,이 화면이 실제 전면에 표시된 경우,
마이 · 나를 소개하기,커리어 · 자격·수상 입력,career_award_form,자격·수상 한 항목을 등록·수정하는 화면입니다.,자격·수상 목록 → 추가·편집,이력 관리로 이동하거나 뒤로 돌아갑니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,
마이 · 나를 소개하기,커리어 · 언어 능력,career_language,언어와 능력 수준을 관리하는 화면입니다.,이력 관리 → 언어,이력 관리로 이동하거나 뒤로 돌아갑니다.,aos,이 화면이 실제 전면에 표시된 경우,
마이 · 나를 소개하기,커리어 · 스킬,career_skill,보유 스킬을 관리하는 화면입니다.,이력 관리 → 스킬,이력 관리로 이동하거나 뒤로 돌아갑니다.,aos,이 화면이 실제 전면에 표시된 경우,
마이 · 나를 소개하기,공유 · 내 프로필 미리보기,profile_share_preview,다른 사람이 보게 될 내 공유 프로필을 미리 확인하는 화면입니다.,마이 → 공유 미리보기,공유 또는 내 프로필로 이동하거나 뒤로 돌아갑니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,
마이 · 나를 소개하기,마이 · 오늘 방문자,profile_visitor_list,오늘 내 프로필에 방문한 크리에이터를 확인하는 화면입니다.,마이 → 오늘 방문자,크리에이터 프로필로 이동하거나 뒤로 돌아갑니다.,aos,이 화면이 실제 전면에 표시된 경우,
마이 · 나를 소개하기,내 정보 · 이름 종류 선택,profile_name_select,한글·영문 중 변경할 이름을 선택합니다.,마이 → 정보 수정 → 이름 종류 선택,한글 또는 영문 이름 입력로 이동합니다.,ios,이 화면이 실제 전면에 표시된 경우,
마이 · 나를 소개하기,내 정보 · 생년월일·성별,profile_birth_gender,생년월일과 성별을 확인·편집하는 독립 시트입니다.,마이 → 정보 수정 → 생년월일·성별,내 프로필로 이동합니다.,ios,이 화면이 실제 전면에 표시된 경우,
마이 · 나를 소개하기,내 정보 · 프로필 사진 관리,profile_image_manage,등록된 프로필 사진의 변경·삭제를 선택합니다.,마이 → 정보 수정 → 프로필 사진 관리,사진 선택·편집 또는 내 프로필로 이동합니다.,ios,이 화면이 실제 전면에 표시된 경우,
마이 · 나를 소개하기,내 정보 · 이메일 관리,profile_email_manage,등록된 이메일을 확인하고 변경을 시작합니다.,마이 → 정보 수정 → 이메일 관리,이메일 입력로 이동합니다.,ios,이 화면이 실제 전면에 표시된 경우,
마이 · 나를 소개하기,내 정보 · 전화번호 관리,profile_phone_manage,등록된 전화번호를 확인하고 변경을 시작합니다.,마이 → 정보 수정 → 전화번호 관리,전화번호 입력로 이동합니다.,ios,이 화면이 실제 전면에 표시된 경우,
마이 · 나를 소개하기,내 정보 · 링크 관리,profile_link_manage,등록된 외부 링크를 확인하고 변경·삭제를 시작합니다.,마이 → 정보 수정 → 링크 관리,링크 입력로 이동합니다.,ios,이 화면이 실제 전면에 표시된 경우,
작업물 등록·수정,작업물 등록 · 종류 선택,upload_home,등록할 작업물 종류를 고르는 화면입니다.,디스커버리·마이 → 등록,포트폴리오·영감·프로젝트 작성으로 이동합니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,종류 선택 UI가 실제 표시될 때만 기록합니다. 바로 특정 작성 폼을 여는 경우 이 이름을 먼저 보내지 않습니다.
작업물 등록·수정,포트폴리오 · 작성,upload_portfolio,작품 설명과 첨부 파일을 등록·수정하는 전체 폼입니다.,작업물 종류 선택 또는 내 콘텐츠 → 편집,첨부 편집·미리보기 또는 저장 후 원래 화면으로 이동합니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,신규·수정은 mode 속성입니다. 한 스크롤 폼 안의 제목·설명·파일·배경 입력 블록은 별도 화면명이 아닙니다. 저장 성공은 publish 액션입니다.
작업물 등록·수정,영감 · 작성,upload_inspiration,영감의 글과 배경을 등록·수정하는 전체 폼입니다.,작업물 종류 선택 또는 내 콘텐츠 → 편집,첨부 편집·미리보기 또는 저장 후 원래 화면으로 이동합니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,신규·수정은 mode 속성입니다. 한 스크롤 폼 안의 제목·설명·파일·배경 입력 블록은 별도 화면명이 아닙니다. 저장 성공은 publish 액션입니다.
작업물 등록·수정,프로젝트 · 작성,upload_project,협업 프로젝트의 소개와 모집 내용을 등록·수정하는 전체 폼입니다.,작업물 종류 선택 또는 내 콘텐츠 → 편집,첨부 편집·미리보기 또는 저장 후 원래 화면으로 이동합니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,신규·수정은 mode 속성입니다. 한 스크롤 폼 안의 제목·설명·파일·배경 입력 블록은 별도 화면명이 아닙니다. 저장 성공은 publish 액션입니다.
작업물 등록·수정,첨부 · 이미지·영상 선택,media_image_video_selection,앱 자체 이미지·영상 선택 목록입니다.,프로필·작업물 입력 → 첨부 선택·편집,편집 완료 후 원래 입력 폼으로 돌아갑니다.,aos,이 화면이 실제 전면에 표시된 경우,OS 사진 선택기나 시스템 파일 앱에는 앱의 화면명을 붙이지 않습니다. 편집 호스트와 내부 crop 화면이 겹치면 실제 전면 편집 화면 하나만 기록합니다.
작업물 등록·수정,첨부 · 이미지 자르기,media_image_crop,이미지의 잘라낼 영역을 정하는 편집 화면입니다.,프로필·작업물 입력 → 첨부 선택·편집,편집 완료 후 원래 입력 폼으로 돌아갑니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,OS 사진 선택기나 시스템 파일 앱에는 앱의 화면명을 붙이지 않습니다. 편집 호스트와 내부 crop 화면이 겹치면 실제 전면 편집 화면 하나만 기록합니다.
작업물 등록·수정,첨부 · 이미지 편집,media_image_edit,이미지 자르기와 표현을 편집하는 독립 편집 화면입니다.,프로필·작업물 입력 → 첨부 선택·편집,편집 완료 후 원래 입력 폼으로 돌아갑니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,OS 사진 선택기나 시스템 파일 앱에는 앱의 화면명을 붙이지 않습니다. 편집 호스트와 내부 crop 화면이 겹치면 실제 전면 편집 화면 하나만 기록합니다.
작업물 등록·수정,첨부 · 동영상 자르기,media_video_crop,동영상의 구간·화면 영역을 자르는 화면입니다.,프로필·작업물 입력 → 첨부 선택·편집,편집 완료 후 원래 입력 폼으로 돌아갑니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,OS 사진 선택기나 시스템 파일 앱에는 앱의 화면명을 붙이지 않습니다. 편집 호스트와 내부 crop 화면이 겹치면 실제 전면 편집 화면 하나만 기록합니다.
작업물 등록·수정,프로필 사진 · 이미지 편집,media_profile_image_edit,프로필 사진·커버 이미지에 사용할 영역을 편집하는 화면입니다.,프로필·작업물 입력 → 첨부 선택·편집,편집 완료 후 원래 입력 폼으로 돌아갑니다.,ios,이 화면이 실제 전면에 표시된 경우,OS 사진 선택기나 시스템 파일 앱에는 앱의 화면명을 붙이지 않습니다. 편집 호스트와 내부 crop 화면이 겹치면 실제 전면 편집 화면 하나만 기록합니다.
작업물 등록·수정,프로필 커버 · 동영상 편집,media_profile_video_edit,프로필 커버용 동영상을 편집하는 화면입니다.,프로필·작업물 입력 → 첨부 선택·편집,편집 완료 후 원래 입력 폼으로 돌아갑니다.,ios,이 화면이 실제 전면에 표시된 경우,OS 사진 선택기나 시스템 파일 앱에는 앱의 화면명을 붙이지 않습니다. 편집 호스트와 내부 crop 화면이 겹치면 실제 전면 편집 화면 하나만 기록합니다.
채티 · 소통,채티 · 대화 목록,chat_list_direct,참여 중인 대화 목록을 보는 화면입니다.,하단 채티 → 해당 목록 탭,대화방으로 이동합니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,채티 루트와 목록 화면을 동시에 기록하지 않습니다. 탭 재선택·목록 새로고침은 새 화면이 아닙니다.
채티 · 소통,채티 · 라운지 목록,chat_list_lounge,발견·참여할 라운지 목록을 보는 화면입니다.,하단 채티 → 해당 목록 탭,라운지 대화방 또는 라운지 만들기으로 이동합니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,채티 루트와 목록 화면을 동시에 기록하지 않습니다. 탭 재선택·목록 새로고침은 새 화면이 아닙니다.
채티 · 소통,채티 · 프로젝트 대화 목록,chat_list_project,협업 프로젝트 대화 목록을 보는 화면입니다.,하단 채티 → 해당 목록 탭,프로젝트 대화방으로 이동합니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,채티 루트와 목록 화면을 동시에 기록하지 않습니다. 탭 재선택·목록 새로고침은 새 화면이 아닙니다.
채티 · 소통,대화 시작 · 목적 선택,knock_select,처음 연락할 목적을 선택하는 독립 과업 시트입니다.,타인 프로필 → 노크,목적 선택 후 노크 전송 또는 대화방으로 이동합니다.,ios,이 화면이 실제 전면에 표시된 경우,
채티 · 소통,대화 시작 · 메시지 입력,knock_compose,처음 연락할 메시지를 입력하는 독립 과업 시트입니다.,타인 프로필 → 노크,메시지 전송 후 대화방 또는 원래 프로필로 이동합니다.,aos,이 화면이 실제 전면에 표시된 경우,목적 선택만 하는 화면과 자유 메시지 입력 화면은 동일 기능이어도 서로 다른 화면입니다.
채티 · 소통,채티 · 1:1 대화,chat_direct_room,1:1 대화의 메시지를 읽고 대화하는 화면입니다.,채티 목록·프로필·프로젝트·팀 → 대화방 열기,방 관리·첨부 보기·참여자 프로필로 이동하거나 목록으로 돌아갑니다.,"aos,ios",현재 방의 room_type이 direct인 경우,메시지 전송·신규 메시지·키보드 열림은 화면이 아닙니다. 미참여 프리뷰와 참여 상태는 속성이며 방을 처음 실제 표시할 때 한 번 기록합니다. 공용 호스트에서는 실제 방 유형을 확인한 뒤 해당 제목 하나만 전송합니다. 유형 미확정 상태에서 임시 제목을 먼저 보내지 않습니다.
채티 · 소통,채티 · 1:1 대화 관리,chat_direct_manage,1:1 대화의 설정과 참여자를 관리하는 화면입니다.,1:1 대화 → 더보기·관리,방 또는 참여자 프로필로 돌아갑니다.,"aos,ios",현재 방의 room_type이 direct이고 관리 화면이 전면인 경우,1:1·라운지·프로젝트·팀의 관리 대상과 화면 구성이 달라 구분합니다. 공용 호스트에서는 실제 방 유형을 확인한 뒤 해당 제목 하나만 전송합니다. 유형 미확정 상태에서 임시 제목을 먼저 보내지 않습니다.
채티 · 소통,채티 · 라운지 대화,chat_lounge_room,라운지 대화의 메시지를 읽고 대화하는 화면입니다.,채티 목록·프로필·프로젝트·팀 → 대화방 열기,방 관리·첨부 보기·참여자 프로필로 이동하거나 목록으로 돌아갑니다.,"aos,ios",현재 방의 room_type이 lounge인 경우,메시지 전송·신규 메시지·키보드 열림은 화면이 아닙니다. 미참여 프리뷰와 참여 상태는 속성이며 방을 처음 실제 표시할 때 한 번 기록합니다. 공용 호스트에서는 실제 방 유형을 확인한 뒤 해당 제목 하나만 전송합니다. 유형 미확정 상태에서 임시 제목을 먼저 보내지 않습니다.
채티 · 소통,채티 · 라운지 대화 관리,chat_lounge_manage,라운지 대화의 설정과 참여자를 관리하는 화면입니다.,라운지 대화 → 더보기·관리,방 또는 참여자 프로필로 돌아갑니다.,"aos,ios",현재 방의 room_type이 lounge이고 관리 화면이 전면인 경우,1:1·라운지·프로젝트·팀의 관리 대상과 화면 구성이 달라 구분합니다. 공용 호스트에서는 실제 방 유형을 확인한 뒤 해당 제목 하나만 전송합니다. 유형 미확정 상태에서 임시 제목을 먼저 보내지 않습니다.
채티 · 소통,라운지 · 정보 입력,chat_lounge_form,라운지 이름·소개·커버를 등록하거나 수정하는 화면입니다.,"채티 라운지 목록 → 만들기, 또는 라운지 관리 → 편집",저장 후 라운지 또는 목록으로 돌아갑니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,
프로젝트·팀 협업,채티 · 프로젝트 대화,chat_project_room,프로젝트 대화의 메시지를 읽고 대화하는 화면입니다.,채티 목록·프로필·프로젝트·팀 → 대화방 열기,방 관리·첨부 보기·참여자 프로필로 이동하거나 목록으로 돌아갑니다.,"aos,ios",현재 방의 room_type이 project인 경우,메시지 전송·신규 메시지·키보드 열림은 화면이 아닙니다. 미참여 프리뷰와 참여 상태는 속성이며 방을 처음 실제 표시할 때 한 번 기록합니다. 공용 호스트에서는 실제 방 유형을 확인한 뒤 해당 제목 하나만 전송합니다. 유형 미확정 상태에서 임시 제목을 먼저 보내지 않습니다.
프로젝트·팀 협업,채티 · 프로젝트 대화 관리,chat_project_manage,프로젝트 대화의 설정과 참여자를 관리하는 화면입니다.,프로젝트 대화 → 더보기·관리,방 또는 참여자 프로필로 돌아갑니다.,"aos,ios",현재 방의 room_type이 project이고 관리 화면이 전면인 경우,1:1·라운지·프로젝트·팀의 관리 대상과 화면 구성이 달라 구분합니다. 공용 호스트에서는 실제 방 유형을 확인한 뒤 해당 제목 하나만 전송합니다. 유형 미확정 상태에서 임시 제목을 먼저 보내지 않습니다.
프로젝트·팀 협업,채티 · 팀 대화,chat_team_room,팀 대화의 메시지를 읽고 대화하는 화면입니다.,채티 목록·프로필·프로젝트·팀 → 대화방 열기,방 관리·첨부 보기·참여자 프로필로 이동하거나 목록으로 돌아갑니다.,"aos,ios",현재 방의 room_type이 team인 경우,메시지 전송·신규 메시지·키보드 열림은 화면이 아닙니다. 미참여 프리뷰와 참여 상태는 속성이며 방을 처음 실제 표시할 때 한 번 기록합니다. 공용 호스트에서는 실제 방 유형을 확인한 뒤 해당 제목 하나만 전송합니다. 유형 미확정 상태에서 임시 제목을 먼저 보내지 않습니다.
프로젝트·팀 협업,채티 · 팀 대화 관리,chat_team_manage,팀 대화의 설정과 참여자를 관리하는 화면입니다.,팀 대화 → 더보기·관리,방 또는 참여자 프로필로 돌아갑니다.,"aos,ios",현재 방의 room_type이 team이고 관리 화면이 전면인 경우,1:1·라운지·프로젝트·팀의 관리 대상과 화면 구성이 달라 구분합니다. 공용 호스트에서는 실제 방 유형을 확인한 뒤 해당 제목 하나만 전송합니다. 유형 미확정 상태에서 임시 제목을 먼저 보내지 않습니다.
프로젝트·팀 협업,프로젝트 · 목록,project_list,프로젝트 콘텐츠를 목록으로 살펴보는 화면입니다.,발견·프로필 → 프로젝트 모아보기,프로젝트 상세로 이동합니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,채티의 프로젝트 대화 목록과 구분합니다.
프로젝트·팀 협업,프로젝트 · 상세,project_detail,프로젝트 소개와 모집 정보를 읽는 화면입니다.,발견·검색·프로필·프로젝트 목록 → 프로젝트 선택,참여 신청·담당자 프로필·프로젝트 대화로 이동합니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,
프로젝트·팀 협업,프로젝트 · 참여 신청,project_apply,협업 프로젝트 참여 내용을 입력해 신청하는 화면입니다.,프로젝트 상세 → 참여 신청,신청 완료 후 프로젝트 상세 또는 대화로 이동합니다.,aos,이 화면이 실제 전면에 표시된 경우,신청 완료·취소는 액션이며 별도 완료 페이지가 없으면 화면명을 만들지 않습니다.
프로젝트·팀 협업,프로젝트 · 지원자 목록,project_applicants,프로젝트에 지원한 크리에이터를 확인하는 화면입니다.,내 프로젝트·프로젝트 대화 관리 → 지원자,지원자 프로필·수락·거절·대화로 이어집니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,
프로젝트·팀 협업,협업 제안 · 받은 제안,proposal_inbox,받은 협업 제안을 목록으로 확인하는 화면입니다.,채티·인박스 → 제안,제안 상세으로 이동하거나 뒤로 돌아갑니다.,web,이 화면이 실제 전면에 표시된 경우,현재 알파에서 해당 진입이 가능한 권한·회원 상태일 때 적용합니다.
프로젝트·팀 협업,협업 제안 · 상세,proposal_detail,협업 제안의 내용을 읽는 화면입니다.,제안 목록 → 제안 선택,보낸 크리에이터 프로필·답변·대화으로 이동하거나 뒤로 돌아갑니다.,web,이 화면이 실제 전면에 표시된 경우,현재 알파에서 해당 진입이 가능한 권한·회원 상태일 때 적용합니다.
프로젝트·팀 협업,협업 제안 · 유형 선택,proposal_form_type,보낼 협업 제안 유형을 고르는 화면입니다.,프로필·제안 만들기 → 유형 선택,제안 작성으로 이동하거나 뒤로 돌아갑니다.,web,이 화면이 실제 전면에 표시된 경우,현재 알파에서 해당 진입이 가능한 권한·회원 상태일 때 적용합니다.
프로젝트·팀 협업,협업 제안 · 작성,proposal_form,협업 제안의 본문을 작성하는 화면입니다.,프로필 → 제안 보내기 또는 제안 편집,이메일·전화번호·포트폴리오 선택 또는 전송으로 이동하거나 뒤로 돌아갑니다.,web,이 화면이 실제 전면에 표시된 경우,현재 알파에서 해당 진입이 가능한 권한·회원 상태일 때 적용합니다.
프로젝트·팀 협업,협업 제안 · 이메일 입력,proposal_form_email,제안 연락용 이메일을 입력하는 화면입니다.,협업 제안 작성 → 이메일,제안 작성으로 이동하거나 뒤로 돌아갑니다.,web,이 화면이 실제 전면에 표시된 경우,현재 알파에서 해당 진입이 가능한 권한·회원 상태일 때 적용합니다.
프로젝트·팀 협업,협업 제안 · 전화번호 입력,proposal_form_phone,제안 연락용 전화번호를 입력하는 화면입니다.,협업 제안 작성 → 전화번호,제안 작성으로 이동하거나 뒤로 돌아갑니다.,web,이 화면이 실제 전면에 표시된 경우,현재 알파에서 해당 진입이 가능한 권한·회원 상태일 때 적용합니다.
프로젝트·팀 협업,협업 제안 · 포트폴리오 선택,proposal_form_portfolio,제안에 첨부할 포트폴리오를 고르는 화면입니다.,협업 제안 작성 → 포트폴리오 첨부,제안 작성으로 이동하거나 뒤로 돌아갑니다.,web,이 화면이 실제 전면에 표시된 경우,현재 알파에서 해당 진입이 가능한 권한·회원 상태일 때 적용합니다.
프로젝트·팀 협업,팀 · 내 팀과 초대,team_list,내 팀과 받은 팀 초대를 확인하는 화면입니다.,채티 → 팀 목록,팀 프로필·만들기 또는 초대 수락으로 이동하거나 뒤로 돌아갑니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,현재 알파에서 해당 진입이 가능한 권한·회원 상태일 때 적용합니다.
프로젝트·팀 협업,팀 · 정보 입력,team_form,팀 이름·소개·이미지를 입력하는 화면입니다.,팀 목록 → 만들기 또는 내 팀 → 편집,팀 프로필 또는 팀 목록으로 이동하거나 뒤로 돌아갑니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,현재 알파에서 해당 진입이 가능한 권한·회원 상태일 때 적용합니다.
프로젝트·팀 협업,팀 · 포트폴리오,team_portfolio,팀 포트폴리오를 모아 보는 화면입니다.,팀 목록·팀 링크 → 포트폴리오 탭,포트폴리오 상세으로 이동하거나 뒤로 돌아갑니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,현재 알파에서 해당 진입이 가능한 권한·회원 상태일 때 적용합니다. 팀 호스트와 선택 탭을 중복 기록하지 않습니다.
프로젝트·팀 협업,팀 · 소개,team_intro,팀 소개를 읽는 화면입니다.,팀 프로필 → 소개 탭,팀 대화·멤버·포트폴리오으로 이동하거나 뒤로 돌아갑니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,현재 알파에서 해당 진입이 가능한 권한·회원 상태일 때 적용합니다. 팀 호스트와 선택 탭을 중복 기록하지 않습니다.
프로젝트·팀 협업,팀 · 멤버,team_members,팀 멤버 목록을 보는 화면입니다.,팀 프로필 → 멤버 탭,멤버 프로필·초대으로 이동하거나 뒤로 돌아갑니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,현재 알파에서 해당 진입이 가능한 권한·회원 상태일 때 적용합니다. 팀 호스트와 선택 탭을 중복 기록하지 않습니다.
프로젝트·팀 협업,팀 · 멤버 초대,team_member_invite,초대할 크리에이터를 선택하는 화면입니다.,내 팀 → 멤버 초대,초대 후 팀 멤버 화면으로 이동하거나 뒤로 돌아갑니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,현재 알파에서 해당 진입이 가능한 권한·회원 상태일 때 적용합니다.
활동·계정 관리,신고 · 사유 선택,report_reason,사용자·콘텐츠·대화에 대한 신고 사유를 선택하는 독립 과업 시트입니다.,프로필·콘텐츠·대화 관리 → 신고,선택 신고를 전송하거나 직접 입력 화면으로 이동합니다.,aos,이 화면이 실제 전면에 표시된 경우,
활동·계정 관리,알림 · 내 알림,notification_home,나에게 온 알림을 확인하는 화면입니다.,메인 → 알림,알림이 가리키는 프로필·콘텐츠·대화으로 이동합니다.,"aos,ios,web",이 화면이 실제 전면에 표시된 경우,
활동·계정 관리,알림 · 제안 소식,notification_proposal,협업 제안 관련 소식을 확인하는 화면입니다.,제안 → 새 소식,제안 상세으로 이동합니다.,web,이 화면이 실제 전면에 표시된 경우,
활동·계정 관리,내 활동 · 모아보기,activity_home,내가 반응하거나 작성한 활동으로 들어가는 화면입니다.,마이·설정 → 내 활동,리스펙트·좋아요·댓글 목록으로 이동합니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,
활동·계정 관리,북마크 · 크리에이터,activity_bookmark_creator,저장한 크리에이터 목록을 보는 화면입니다.,마이·설정 → 북마크 → 크리에이터,크리에이터 프로필으로 이동합니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,
활동·계정 관리,북마크 · 포트폴리오,activity_bookmark_portfolio,저장한 포트폴리오 목록을 보는 화면입니다.,마이·설정 → 북마크 → 포트폴리오,포트폴리오 상세으로 이동합니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,
활동·계정 관리,내 활동 · 리스펙트한 작업물,activity_respect,내가 리스펙트한 작업물을 보는 화면입니다.,내 활동 → 리스펙트,작업물 상세으로 이동합니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,
활동·계정 관리,내 활동 · 좋아요한 영감,activity_like,내가 좋아요한 영감을 보는 화면입니다.,내 활동 → 좋아요,영감 상세으로 이동합니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,
활동·계정 관리,내 활동 · 댓글과 답글,activity_comment,내가 작성한 댓글과 답글을 보는 화면입니다.,내 활동 → 댓글·답글,해당 콘텐츠 상세으로 이동합니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,
활동·계정 관리,설정 · 전체,settings_home,앱과 계정 설정 항목을 선택하는 화면입니다.,마이 → 설정,계정·알림·공개 범위·고객센터으로 이동합니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,
활동·계정 관리,설정 · 계정 관리,settings_account,인증·비밀번호·탈퇴 설정으로 들어가는 화면입니다.,설정 → 계정,비밀번호 변경·2단계 인증·탈퇴으로 이동합니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,
활동·계정 관리,설정 · 알림,settings_notification,알림 수신 항목을 변경하는 화면입니다.,설정 → 알림,설정으로 이동합니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,
활동·계정 관리,설정 · 공개 범위,settings_visibility,공개 대상 항목을 선택하는 화면입니다.,설정 → 공개 범위,프로필 공개 범위으로 이동합니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,
활동·계정 관리,설정 · 프로필 공개 범위,settings_visibility_profile,프로필 공개 대상을 지정하는 화면입니다.,공개 범위 → 프로필,공개 범위 또는 공유 화면으로 이동합니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,
활동·계정 관리,설정 · 차단한 사용자,settings_blocked_users,차단 목록을 확인하고 해제하는 화면입니다.,설정 → 차단한 사용자,설정으로 이동합니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,
활동·계정 관리,설정 · 비밀번호 변경,settings_password_change,로그인한 회원의 비밀번호를 변경하는 화면입니다.,계정 관리 → 비밀번호 변경,계정 관리으로 이동합니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,
활동·계정 관리,설정 · 비밀번호 이메일 인증,settings_password_verify,로그인 상태에서 비밀번호 변경 권한을 확인하는 화면입니다.,계정 → 비밀번호 재설정,새 비밀번호 입력으로 이동합니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,
활동·계정 관리,설정 · 새 비밀번호 입력,settings_password_reset,로그인 상태에서 새 비밀번호를 지정하는 화면입니다.,설정 내 이메일 인증 완료,계정 관리으로 이동합니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,
활동·계정 관리,설정 · 2단계 인증,settings_2fa,2단계 인증 등록 상태를 확인하는 화면입니다.,계정 관리 → 2단계 인증,인증 이메일 등록으로 이동합니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,
활동·계정 관리,설정 · 인증 이메일 등록,settings_2fa_email,2단계 인증에 사용할 이메일을 등록하는 화면입니다.,2단계 인증 → 등록,이메일 인증으로 이동합니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,
활동·계정 관리,설정 · 인증 이메일 확인,settings_2fa_verify,2단계 인증용 이메일을 확인하는 화면입니다.,인증 이메일 등록,2단계 인증 완료으로 이동합니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,
활동·계정 관리,설정 · 2단계 인증 완료,settings_2fa_complete,2단계 인증 설정 완료를 실제로 안내하는 화면입니다.,이메일 확인 성공,계정 관리으로 이동합니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,
활동·계정 관리,설정 · 개인정보 동의,settings_privacy_agreement,개인정보 이용 동의 항목을 변경하는 화면입니다.,설정 → 개인정보 동의,설정으로 이동합니다.,ios,이 화면이 실제 전면에 표시된 경우,
활동·계정 관리,회원 탈퇴 · 본인 확인,settings_withdraw_verify,회원 탈퇴를 위한 본인 확인 화면입니다.,계정 관리 → 탈퇴,탈퇴 사유·최종 확인으로 이동합니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,
활동·계정 관리,회원 탈퇴 · 사유 입력,settings_withdraw_reason,탈퇴 사유를 직접 입력하는 화면입니다.,회원 탈퇴 → 사유 직접 입력,탈퇴 확인으로 이동합니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,
활동·계정 관리,회원 탈퇴 · 최종 확인,settings_withdraw_confirm,탈퇴 결과와 주의사항을 확인하는 마지막 화면입니다.,회원 탈퇴 본인 확인·사유 입력,탈퇴 처리 후 로그인 시작으로 이동합니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,
